"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 12:49:26 UTC 2025","Tue Oct 14 12:49:36 UTC 2025","9902","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_006:Login with Xsolla redirection link",""
"passed","Tue Oct 14 12:49:11 UTC 2025","Tue Oct 14 12:50:03 UTC 2025","51831","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_005:Login with Facebook redirection link",""
"passed","Tue Oct 14 12:49:41 UTC 2025","Tue Oct 14 12:49:52 UTC 2025","11162","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_007:Login with Google redirection link",""
"failed","Tue Oct 14 12:52:28 UTC 2025","Tue Oct 14 12:52:49 UTC 2025","21110","chrome","functional/2_Signup/signup.spec.js","Signup to 80LV","","","Mobile  @regression TC_010:Successful Sign up",""
"passed","Tue Oct 14 12:49:36 UTC 2025","Tue Oct 14 12:49:50 UTC 2025","13867","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile @regression TC_006:Login with Xsolla redirection link",""
"passed","Tue Oct 14 12:50:03 UTC 2025","Tue Oct 14 12:51:30 UTC 2025","86400","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_008:Login with LinkdIn redirection link",""
"passed","Tue Oct 14 12:49:27 UTC 2025","Tue Oct 14 12:49:41 UTC 2025","13723","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_006:Login with Xsolla redirection link",""
"passed","Tue Oct 14 12:49:15 UTC 2025","Tue Oct 14 12:49:27 UTC 2025","11864","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_005:Login with Facebook redirection link",""
"passed","Tue Oct 14 12:49:09 UTC 2025","Tue Oct 14 12:49:15 UTC 2025","6337","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_004:Successful login with session (recruiter)",""
"passed","Tue Oct 14 12:49:50 UTC 2025","Tue Oct 14 12:50:38 UTC 2025","47819","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_007:Login with Google redirection link",""
"passed","Tue Oct 14 12:49:10 UTC 2025","Tue Oct 14 12:49:16 UTC 2025","6167","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_004:Successful login with session (recruiter)",""
"passed","Tue Oct 14 12:50:13 UTC 2025","Tue Oct 14 12:50:23 UTC 2025","10085","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_009:Login with Twitter redirection link",""
"passed","Tue Oct 14 12:49:06 UTC 2025","Tue Oct 14 12:49:57 UTC 2025","51253","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_004:Successful login with session (recruiter)",""
"passed","Tue Oct 14 12:48:55 UTC 2025","Tue Oct 14 12:49:04 UTC 2025","8392","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_003:Successful login with session (talent)",""
"passed","Tue Oct 14 12:49:57 UTC 2025","Tue Oct 14 12:50:11 UTC 2025","14105","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_008:Login with LinkdIn redirection link",""
"failed","Tue Oct 14 12:52:02 UTC 2025","Tue Oct 14 12:53:01 UTC 2025","58860","chrome","functional/2_Signup/signup.spec.js","Signup to 80LV","","","Laptop  @regression TC_010:Successful Sign up",""
"passed","Tue Oct 14 12:49:41 UTC 2025","Tue Oct 14 12:49:54 UTC 2025","12972","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_007:Login with Google redirection link",""
"failed","Tue Oct 14 12:51:20 UTC 2025","Tue Oct 14 12:51:44 UTC 2025","23812","chrome","functional/2_Signup/signup.spec.js","Signup to 80LV","","","Desktop  @regression TC_010:Successful Sign up",""
"passed","Tue Oct 14 12:49:52 UTC 2025","Tue Oct 14 12:50:04 UTC 2025","12064","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile @regression TC_007:Login with Google redirection link",""
"passed","Tue Oct 14 12:48:40 UTC 2025","Tue Oct 14 12:48:50 UTC 2025","10222","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_003:Successful login with session (talent)",""
