"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 13 06:22:57 UTC 2025","Mon Oct 13 06:23:29 UTC 2025","32190","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop  @regression TC_002:Successful login(Without session)",""
"passed","Mon Oct 13 06:22:57 UTC 2025","Mon Oct 13 06:23:25 UTC 2025","27998","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop  @regression TC_002:Successful login(Without session)",""
"passed","Mon Oct 13 06:23:29 UTC 2025","Mon Oct 13 06:23:34 UTC 2025","5035","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile @regression TC_004:Successful login with session (recruiter)",""
"passed","Mon Oct 13 06:23:21 UTC 2025","Mon Oct 13 06:23:29 UTC 2025","7862","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile @regression TC_003:Successful login with session (talent)",""
"passed","Mon Oct 13 06:23:12 UTC 2025","Mon Oct 13 06:23:21 UTC 2025","9565","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_003:Successful login with session (talent)",""
"passed","Mon Oct 13 06:23:06 UTC 2025","Mon Oct 13 06:23:12 UTC 2025","6223","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_003:Successful login with session (talent)",""
"passed","Mon Oct 13 06:22:57 UTC 2025","Mon Oct 13 06:23:32 UTC 2025","34114","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet  @regression TC_002:Successful login(Without session)",""
"passed","Mon Oct 13 06:22:57 UTC 2025","Mon Oct 13 06:23:06 UTC 2025","8156","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_003:Successful login with session (talent)",""
"passed","Mon Oct 13 06:23:22 UTC 2025","Mon Oct 13 06:23:30 UTC 2025","7562","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Desktop @regression TC_004:Successful login with session (recruiter)",""
"passed","Mon Oct 13 06:23:29 UTC 2025","Mon Oct 13 06:23:35 UTC 2025","5798","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_004:Successful login with session (recruiter)",""
"passed","Mon Oct 13 06:23:25 UTC 2025","Mon Oct 13 06:23:33 UTC 2025","8276","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Laptop @regression TC_004:Successful login with session (recruiter)",""
"passed","Mon Oct 13 06:22:57 UTC 2025","Mon Oct 13 06:23:22 UTC 2025","25029","chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile  @regression TC_002:Successful login(Without session)",""
