"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9530","Laptop TC_128:Invalid Search functionality in All events @regression","Browser:Google Chrome","Thu Dec 04 06:09:51 UTC 2025","passed","Thu Dec 04 06:10:01 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","44702","Desktop TC_049:Successful new button result @regression","Browser:Google Chrome","Thu Dec 04 06:13:09 UTC 2025","passed","Thu Dec 04 06:13:53 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","15352","Tablet TC_012:Successful Colored Header Button redirection @regression","Browser:Google Chrome","Thu Dec 04 06:11:47 UTC 2025","passed","Thu Dec 04 06:12:03 UTC 2025","Navbar","functional/3_Navbar/navbar.spec.js","",""
"","65388","Mobile TC_133:Check expantion and collapse of events card of events in offline events tab @regression","Browser:Google Chrome","Thu Dec 04 06:11:25 UTC 2025","passed","Thu Dec 04 06:12:30 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","7939","Mobile TC_078:Articles Footer form successful subscription @regression","Browser:Google Chrome","Thu Dec 04 06:10:59 UTC 2025","passed","Thu Dec 04 06:11:07 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","13322","Desktop TC_067:Article page right side promo banner visibility with redirection @regression","Browser:Google Chrome","Thu Dec 04 06:13:19 UTC 2025","passed","Thu Dec 04 06:13:32 UTC 2025","Articles promo banner","functional/5_AllArticles/promoImagebanner.spec.js","",""
"","9693","Laptop TC_049:Successful new button result @regression","Browser:Google Chrome","Thu Dec 04 06:13:00 UTC 2025","passed","Thu Dec 04 06:13:10 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","5764","Desktop TC_114:Check pagination of online events if present with oldest filter @regression","Browser:Google Chrome","Thu Dec 04 06:14:04 UTC 2025","passed","Thu Dec 04 06:14:09 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","23533","Desktop TC_002:Successful login(Without session @regression)","Browser:Google Chrome","Thu Dec 04 06:09:34 UTC 2025","passed","Thu Dec 04 06:09:57 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","55239","Mobile TC_136:Successful redirection of all official website of event cards of offline events @regression","Browser:Google Chrome","Thu Dec 04 06:13:29 UTC 2025","passed","Thu Dec 04 06:14:25 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
