"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7745","Mobile TC_077:Articles Footer form email field validation @regression","Browser:Google Chrome","Wed Dec 03 09:59:58 UTC 2025","passed","Wed Dec 03 10:00:05 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","28861","Tablet TC_048:Successful popular button result @regression","Browser:Google Chrome","Wed Dec 03 10:02:24 UTC 2025","passed","Wed Dec 03 10:02:53 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","6897","Desktop TC_159: Footer form Podcasts Round Table redirection @regression","Browser:Google Chrome","Wed Dec 03 10:07:37 UTC 2025","passed","Wed Dec 03 10:07:44 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","9831","Tablet TC_128:Invalid Search functionality in All events @regression","Browser:Google Chrome","Wed Dec 03 09:59:06 UTC 2025","passed","Wed Dec 03 09:59:16 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8952","Laptop TC_074:Articles partners Explore buttons redirection @regression","Browser:Google Chrome","Wed Dec 03 10:10:08 UTC 2025","passed","Wed Dec 03 10:10:17 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","9014","Mobile TC_062:Successful Pagination Left Arrow visibility and functionality Check @regression","Browser:Google Chrome","Wed Dec 03 10:08:19 UTC 2025","passed","Wed Dec 03 10:08:28 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","15416","Desktop TC_065:Article pagination without filter new button result @regression","Browser:Google Chrome","Wed Dec 03 10:08:45 UTC 2025","passed","Wed Dec 03 10:09:01 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","11933","Mobile TC_130:Invalid Search functionality in Offline events @regression","Browser:Google Chrome","Wed Dec 03 09:59:33 UTC 2025","passed","Wed Dec 03 09:59:45 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10534","Tablet TC_016:Invaild Search results @regression","Browser:Google Chrome","Wed Dec 03 10:02:47 UTC 2025","passed","Wed Dec 03 10:02:57 UTC 2025","Navbar Search","functional/3_Navbar/search.spec.js","",""
"","28571","Mobile TC_048:Successful popular button result @regression","Browser:Google Chrome","Wed Dec 03 10:02:24 UTC 2025","passed","Wed Dec 03 10:02:53 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
